Date,Description,Category,Amount
2022-01-01,Grocery shopping,Food,-75.00
2022-01-02,Bus fare,Transportation,-2.50
2022-01-03,New kitchen utensils,Household,-35.00
2022-01-04,Netflix subscription,Subscription,-12.99
2022-01-05,Stock investment,Investment,-500.00
2022-01-06,Pharmacy purchase,Health,-20.00
2022-01-07,Birthday gift for spouse,Family,-100.00
2022-01-08,New shoes,Apparel,-80.00
2022-01-09,Skincare products,Beauty,-45.00
2022-01-10,College textbook,Education,-120.00
2022-01-11,New Year celebration expenses,Festivals,-200.00
2022-01-12,Online bank transfer fee,Money transfer,-5.00
2022-01-13,Museum entrance fee,Culture,-15.00
2022-01-14,Travel agency fee,Tourism,-300.00
2022-01-15,Haircut and shave,Grooming,-25.00
2022-01-16,Passport renewal,Documents,-100.00
2022-01-17,Dinner with friends,Social Life,-60.00
2022-01-18,Weekly grocery run,Food,-85.00
2022-01-19,Taxi fare,Transportation,-15.00
2022-01-20,New bed sheets,Household,-50.00
2022-01-21,Amazon Prime subscription,Subscription,-14.99
2022-01-22,Mutual fund investment,Investment,-250.00
2022-01-23,Vitamins and supplements,Health,-30.00
2022-01-24,Family movie night,Family,-40.00
2022-01-25,Winter coat,Apparel,-150.00
2022-01-26,Makeup products,Beauty,-60.00
2022-01-27,Online course fee,Education,-200.00
2022-01-28,Christmas party expenses,Festivals,-300.00
2022-01-29,Money transfer to friend,Money transfer,-50.00
2022-01-30,Art gallery ticket,Culture,-25.00
2022-01-31,Flight booking,Tourism,-500.00
2022-02-01,Beard trim,Grooming,-15.00
2022-02-02,Driver's license renewal,Documents,-30.00
2022-02-03,Bar night out,Social Life,-100.00
2022-02-04,Weekend grocery shopping,Food,-95.00
2022-02-05,Subway fare,Transportation,-2.75
2022-02-06,New kitchen appliances,Household,-200.00
2022-02-07,Spotify subscription,Subscription,-9.99
2022-02-08,Retirement fund investment,Investment,-600.00
2022-02-09,Doctor's appointment,Health,-80.00
2022-02-10,Family dinner out,Family,-120.00
2022-02-11,Summer dress,Apparel,-60.00
2022-02-12,Hair care products,Beauty,-35.00
2022-02-13,School supplies,Education,-50.00
2022-02-14,Valentine's day gifts,Festivals,-100.00
2022-02-15,Wire transfer fee,Money transfer,-10.00
2022-02-16,Theater show tickets,Culture,-60.00
2022-02-17,Hotel reservation,Tourism,-200.00
2022-02-18,Manicure,Grooming,-20.00
2022-02-19,Notary fee,Documents,-25.00
2022-02-20,Coffee date,Social Life,-30.00
2022-02-21,Snacks,Food,-10.00
2022-02-22,Uber ride,Transportation,-18.00
2022-02-23,Living room decor,Household,-85.00
2022-02-24,Magazine subscription,Subscription,-5.99
2022-02-25,Cryptocurrency investment,Investment,-400.00
2022-02-26,Eye check-up,Health,-50.00
2022-02-27,Family picnic,Family,-70.00
2022-02-28,Jacket,Apparel,-120.00
2022-03-01,Perfume,Beauty,-55.00
2022-03-02,Online course materials,Education,-75.00
2022-03-03,Easter celebration,Festivals,-180.00
2022-03-04,Money transfer to family,Money transfer,-200.00
2022-03-05,Opera tickets,Culture,-90.00
2022-03-06,Vacation booking,Tourism,-800.00
2022-03-07,Shaving kit,Grooming,-35.00
2022-03-08,Birth certificate copy,Documents,-15.00
2022-03-09,Night out with colleagues,Social Life,-90.00
2022-03-10,Fruit and vegetables,Food,-40.00
2022-03-11,Train ticket,Transportation,-25.00
2022-03-12,New curtains,Household,-60.00
2022-03-13,Hulu subscription,Subscription,-11.99
2022-03-14,Real estate investment,Investment,-1500.00
2022-03-15,Fitness equipment,Health,-100.00
2022-03-16,Child's school fee,Family,-300.00
2022-03-17,Work clothes,Apparel,-200.00
2022-03-18,Facial treatment,Beauty,-70.00
2022-03-19,Exam fee,Education,-150.00
2022-03-20,Halloween party,Festivals,-250.00
2022-03-21,Wire transfer to friend,Money transfer,-100.00
2022-03-22,History museum entrance,Culture,-20.00
2022-03-23,City tour,Tourism,-45.00
2022-03-24,Nail polish,Grooming,-12.00
2022-03-25,Document notarization,Documents,-10.00
2022-03-26,Club membership fee,Social Life,-50.00
2022-03-27,Bakery goods,Food,-25.00
2022-03-28,Gasoline,Transportation,-40.00
2022-03-29,Table lamp,Household,-30.00
2022-03-30,Newspaper subscription,Subscription,-4.99
2022-03-31,Mutual funds,Investment,-350.00
2022-04-01,Yoga class,Health,-15.00
2022-04-02,Family reunion expenses,Family,-500.00
2022-04-03,Jeans,Apparel,-75.00
2022-04-04,Spa day,Beauty,-150.00
2022-04-05,Online workshop,Education,-40.00
2022-04-06,Diwali celebration,Festivals,-300.00
2022-04-07,Money transfer to sibling,Money transfer,-80.00
2022-04-08,Art exhibition,Culture,-30.00
2022-04-09,Weekend getaway,Tourism,-600.00
2022-04-10,Shampoo and conditioner,Grooming,-18.00
2022-04-11,Legal document copy,Documents,-25.00
2022-04-12,Cocktail party,Social Life,-200.00
2022-04-13,Organic food,Food,-55.00
2022-04-14,Bike maintenance,Transportation,-50.00
2022-04-15,Vacuum cleaner,Household,-150.00
2022-04-16,Podcast subscription,Subscription,-6.99
2022-04-17,Precious metals,Investment,-700.00
2022-04-18,Medicine,Health,-25.00
2022-04-19,Anniversary dinner,Family,-150.00
2022-04-20,Sportswear,Apparel,-100.00
2022-04-21,Manicure and pedicure,Beauty,-40.00
2022-04-22,Books,Education,-60.00
2022-04-23,Fourth of July fireworks,Festivals,-120.00
2022-04-24,International money transfer,Money transfer,-60.00
2022-04-25,Music concert,Culture,-85.00
2022-04-26,Adventure trip,Tourism,-900.00
2022-04-27,Razor blades,Grooming,-10.00
2022-04-28,Government fee for document,Documents,-30.00
2022-04-29,Birthday party,Social Life,-300.00
2022-04-30,Restaurant lunch,Food,-35.00
2022-05-01,Bus ticket,Transportation,-12.00
2022-05-02,Home improvement tools,Household,-65.00
2022-05-03,Online magazine subscription,Subscription,-3.99
2022-05-04,Tech stocks,Investment,-400.00
2022-05-05,Medical supplies,Health,-45.00
2022-05-06,Family holiday trip,Family,-700.00
2022-05-07,Sports shoes,Apparel,-90.00
2022-05-08,Hair color,Beauty,-20.00
2022-05-09,Workshop materials,Education,-50.00
2022-05-10,New Year's Eve party,Festivals,-400.00
2022-05-11,Domestic money transfer,Money transfer,-20.00
2022-05-12,Film festival tickets,Culture,-45.00
2022-05-13,Mountain trekking,Tourism,-550.00
2022-05-14,Shaving cream,Grooming,-7.00
2022-05-15,Certified document,Documents,-35.00
